URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241043,https://insights.blackcoffer.com/building-custom-tflite-models-and-benchmarking-on-voxl2-chips/,13,0,1.0,0.042,22.214,44.373,26.635,22.214,138,311,2.45,2,7.402
Netclan20241044,https://insights.blackcoffer.com/sports-prediction-model-for-multiple-sports-leagues/,21,2,0.826,0.054,23.556,40.33,25.554,23.556,171,424,2.37,1,7.281
Netclan20241045,https://insights.blackcoffer.com/efficient-coach-allocation-system-for-sports-coaching-organization/,16,4,0.6,0.053,18.85,37.666,22.606,18.85,142,377,2.393,3,7.194
Netclan20241046,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function-2/,25,6,0.613,0.062,15.152,37.2,20.941,15.152,186,500,2.39,1,7.16
Netclan20241047,https://insights.blackcoffer.com/ai-driven-backend-for-audio-to-text-conversion-and-analytical-assessment-in-pharmaceutical-practice/,12,3,0.6,0.039,18.143,40.42,23.425,18.143,154,381,2.425,1,7.094
Netclan20241048,https://insights.blackcoffer.com/cloud-based-web-application-for-financial-data-processing-and-visualization-of-sp-500-metrics/,50,9,0.695,0.098,18.212,46.09,25.721,18.212,277,601,2.609,1,7.717
Netclan20241049,https://insights.blackcoffer.com/department-wise-kpi-tracking-dashboard-with-technician-performance-analysis-for-atoz-dependable-service/,20,2,0.818,0.04,17.188,32.727,19.966,17.188,180,550,2.224,1,6.787
Netclan20241050,https://insights.blackcoffer.com/steps-to-convert-a-node-js-api-to-python-for-aws-lambda-deployment/,23,3,0.769,0.07,19.421,41.734,24.462,19.421,154,369,2.474,1,7.439
Netclan20241051,https://insights.blackcoffer.com/building-an-analytics-dashboard-with-a-pdf-parsing-pipeline-for-data-extraction/,33,15,0.375,0.048,9.757,37.413,18.868,9.757,376,1005,2.422,1,7.35
Netclan20241052,https://insights.blackcoffer.com/building-a-real-time-log-file-visualization-dashboard-in-kibana/,18,17,0.029,0.058,11.615,40.066,20.673,11.615,242,604,2.389,1,7.078
Netclan20241053,https://insights.blackcoffer.com/analyzing-the-impact-of-female-ceo-appointments-on-company-stock-prices/,21,3,0.75,0.039,11.788,46.166,23.182,11.788,283,613,2.551,1,7.61
Netclan20241054,https://insights.blackcoffer.com/ai-chatbot-using-llm-langchain-llama/,15,0,1.0,0.043,20.647,40.171,24.327,20.647,141,351,2.407,1,7.185
Netclan20241055,https://insights.blackcoffer.com/healthcare-ai-chatbot-using-llama-llm-langchain/,53,2,0.927,0.083,7.824,24.812,13.054,7.824,165,665,2.02,10,6.203
Netclan20241056,https://insights.blackcoffer.com/ai-bot-audio-to-audio/,4,0,1.0,0.022,60.0,41.667,40.667,60.0,75,180,2.417,1,7.094
Netclan20241057,https://insights.blackcoffer.com/recommendation-engine-for-insurance-sector-to-expand-business-in-the-rural-area/,12,0,1.0,0.038,26.583,39.185,26.307,26.583,125,319,2.398,1,7.141
Netclan20241058,https://insights.blackcoffer.com/data-from-crm-via-zapier-to-google-sheets-dynamic-to-powerbi/,13,0,1.0,0.049,18.929,35.849,21.911,18.929,95,265,2.287,1,6.819
Netclan20241059,https://insights.blackcoffer.com/data-warehouse-to-google-data-studio-looker-dashboard/,8,0,1.0,0.028,20.571,35.417,22.395,20.571,102,288,2.302,1,6.941
Netclan20241060,https://insights.blackcoffer.com/crm-monday-com-via-zapier-to-power-bi-dashboard/,15,0,1.0,0.047,12.154,33.228,18.153,12.154,105,316,2.231,1,6.668
Netclan20241061,https://insights.blackcoffer.com/monday-com-to-kpi-dashboard-to-manage-view-and-generate-insights-from-the-crm-data/,19,3,0.727,0.067,11.31,34.146,18.183,11.31,112,328,2.22,1,6.668
Netclan20241062,https://insights.blackcoffer.com/data-management-for-a-political-saas-application/,8,0,1.0,0.023,15.909,39.143,22.021,15.909,137,350,2.346,2,6.974
Netclan20241063,https://insights.blackcoffer.com/google-lsa-ads-google-local-service-ads-etl-tools-and-dashboards/,8,1,0.778,0.031,23.833,37.762,24.638,23.833,108,286,2.35,1,6.895
Netclan20241064,https://insights.blackcoffer.com/ad-networks-marketing-campaign-data-dashboard-in-looker-google-data-studio/,7,0,1.0,0.032,43.2,39.815,33.206,43.2,86,216,2.38,1,7.028
Netclan20241065,https://insights.blackcoffer.com/analytical-solution-for-a-tech-firm/,8,2,0.6,0.051,24.75,40.909,26.264,24.75,81,198,2.429,1,7.106
Netclan20241066,https://insights.blackcoffer.com/ai-solution-for-a-technology-information-and-internet-firm/,8,0,1.0,0.04,33.333,43.5,30.733,33.333,87,200,2.48,1,7.255
Netclan20241067,https://insights.blackcoffer.com/ai-and-nlp-based-solutions-to-automate-data-discovery-for-venture-capital-and-private-equity-principals/,10,0,1.0,0.036,24.909,43.431,27.336,24.909,119,274,2.416,1,7.08
Netclan20241068,https://insights.blackcoffer.com/an-etl-solution-for-an-internet-publishing-firm/,15,0,1.0,0.047,18.588,33.861,20.98,18.588,107,316,2.25,1,6.585
Netclan20241069,https://insights.blackcoffer.com/ai-based-algorithmic-trading-bot-for-forex/,7,0,1.0,0.031,24.778,39.91,25.875,24.778,89,223,2.426,1,7.022
Netclan20241070,https://insights.blackcoffer.com/equity-waterfalls-model-based-saas-application-for-real-estate-sector/,7,2,0.556,0.028,14.043,37.771,20.726,14.043,122,323,2.316,1,6.963
Netclan20241071,https://insights.blackcoffer.com/ai-solutions-for-foreign-exchange-an-automated-algo-trading-tool/,12,1,0.846,0.038,21.438,39.359,24.318,21.438,135,343,2.332,2,7.035
Netclan20241072,https://insights.blackcoffer.com/ai-agent-development-and-deployment-in-jina-ai/,14,1,0.867,0.059,25.6,40.625,26.49,25.6,104,256,2.453,1,7.137
Netclan20241073,https://insights.blackcoffer.com/golden-record-a-knowledge-graph-database-approach-to-unfold-discovery-using-neo4j/,15,1,0.875,0.049,19.118,38.154,22.909,19.118,124,325,2.317,2,6.969
Netclan20241074,https://insights.blackcoffer.com/advanced-ai-for-trading-automation/,14,1,0.867,0.045,13.32,38.438,20.703,13.32,128,333,2.336,1,6.898
Netclan20241075,https://insights.blackcoffer.com/create-a-knowledge-graph-to-provide-real-time-analytics-recommendations-and-a-single-source-of-truth/,8,3,0.455,0.047,18.077,39.149,22.89,18.077,92,235,2.404,1,7.115
Netclan20241076,https://insights.blackcoffer.com/advanced-ai-for-thermal-person-detection/,7,0,1.0,0.035,25.125,41.791,26.766,25.125,84,201,2.438,1,7.109
Netclan20241077,https://insights.blackcoffer.com/advanced-ai-for-road-cam-threat-detection/,7,0,1.0,0.033,26.375,42.18,27.422,26.375,89,211,2.464,1,7.213
Netclan20241078,https://insights.blackcoffer.com/advanced-ai-for-pedestrian-crossing-safety/,9,1,0.8,0.045,22.0,41.364,25.345,22.0,91,220,2.45,1,7.214
Netclan20241079,https://insights.blackcoffer.com/handgun-detection-using-yolo/,8,0,1.0,0.038,26.375,43.602,27.991,26.375,92,211,2.474,1,7.213
Netclan20241080,https://insights.blackcoffer.com/using-graph-technology-to-create-single-customer-view/,8,4,0.333,0.051,18.0,42.308,24.123,18.0,99,234,2.466,1,7.274
Netclan20241081,https://insights.blackcoffer.com/car-detection-in-satellite-images/,15,0,1.0,0.049,15.4,37.662,21.225,15.4,116,308,2.315,1,6.932
Netclan20241082,https://insights.blackcoffer.com/building-a-physics-informed-neural-network-for-circuit-evaluation/,14,2,0.75,0.048,15.273,39.881,22.061,15.273,134,336,2.423,1,7.232
Netclan20241083,https://insights.blackcoffer.com/connecting-mongodb-database-to-power-bi-dashboard-dashboard-automation/,10,3,0.538,0.037,18.684,32.676,20.544,18.684,116,355,2.262,1,6.758
Netclan20241084,https://insights.blackcoffer.com/data-transformation/,24,7,0.548,0.077,14.852,34.165,19.607,14.852,137,401,2.247,1,6.643
Netclan20241085,https://insights.blackcoffer.com/e-commerce-store-analysis-purchase-behavior-ad-spend-conversion-traffic-etc/,11,0,1.0,0.032,16.571,37.356,21.571,16.571,130,348,2.313,1,6.899
Netclan20241086,https://insights.blackcoffer.com/kpi-dashboard-for-accountants/,13,0,1.0,0.04,23.0,40.373,25.349,23.0,130,322,2.348,1,7.109
Netclan20241087,https://insights.blackcoffer.com/return-on-advertising-spend-dashboard-marketing-automation-and-analytics-using-etl-and-dashboard/,29,1,0.933,0.053,15.778,41.549,22.931,15.778,236,568,2.437,1,7.238
Netclan20241088,https://insights.blackcoffer.com/ranking-customer-behaviours-for-business-strategy/,9,2,0.636,0.04,34.75,36.691,28.576,34.75,102,278,2.349,1,6.863
Netclan20241089,https://insights.blackcoffer.com/algorithmic-trading-for-multiple-commodities-markets-like-forex-metals-energy-etc/,9,0,1.0,0.027,19.353,40.729,24.033,19.353,134,329,2.404,1,7.134
Netclan20241090,https://insights.blackcoffer.com/trading-bot-for-forex/,6,1,0.714,0.036,49.25,40.102,35.741,49.25,79,197,2.376,1,6.944
Netclan20241091,https://insights.blackcoffer.com/python-model-for-the-analysis-of-sector-specific-stock-etfs-for-investment-purposes%ef%bf%bc/,11,0,1.0,0.037,18.5,39.527,23.211,18.5,117,296,2.365,1,7.064
Netclan20241092,https://insights.blackcoffer.com/medical-classification/,8,0,1.0,0.027,21.5,36.545,23.218,21.5,110,301,2.329,1,7.023
Netclan20241093,https://insights.blackcoffer.com/design-develop-bert-question-answering-model-explanations-with-visualization/,5,0,1.0,0.023,36.167,40.553,30.688,36.167,88,217,2.429,1,7.207
Netclan20241094,https://insights.blackcoffer.com/design-and-develop-solution-to-anomaly-detection-classification-problems/,5,3,0.25,0.033,22.091,41.564,25.462,22.091,101,243,2.49,1,7.218
Netclan20241095,https://insights.blackcoffer.com/an-etl-solution-for-currency-data-to-google-big-query/,5,11,-0.375,0.055,20.643,32.18,21.129,20.643,93,289,2.246,1,6.682
Netclan20241096,https://insights.blackcoffer.com/etl-and-mlops-infrastructure-for-blockchain-analytics/,6,0,1.0,0.02,34.0,40.523,29.809,34.0,124,306,2.356,1,6.984
Netclan20241097,https://insights.blackcoffer.com/an-agent-based-model-of-a-virtual-power-plant-vpp/,6,0,1.0,0.031,38.2,43.979,32.872,38.2,84,191,2.471,1,7.152
Netclan20241098,https://insights.blackcoffer.com/transform-api-into-sdk-library-and-widget/,12,0,1.0,0.05,40.333,41.322,32.662,40.333,100,242,2.43,1,7.149
Netclan20241099,https://insights.blackcoffer.com/integration-of-a-product-to-a-cloud-based-crm-platform/,9,3,0.5,0.042,17.0,36.678,21.471,17.0,106,289,2.36,1,7.125
Netclan20241100,https://insights.blackcoffer.com/a-web-based-dashboard-for-the-filtered-data-retrieval-of-land-records/,14,1,0.867,0.046,21.533,36.223,23.102,21.533,117,323,2.316,1,6.929
Netclan20241101,https://insights.blackcoffer.com/integration-of-video-conferencing-data-to-the-existing-web-app/,5,0,1.0,0.018,27.2,34.926,24.851,27.2,95,272,2.316,1,6.812
Netclan20241102,https://insights.blackcoffer.com/design-develop-an-app-in-retool-which-shows-the-progress-of-the-added-video/,6,0,1.0,0.031,48.75,44.103,37.141,48.75,86,195,2.472,1,7.097
Netclan20241103,https://insights.blackcoffer.com/auvik-connectwise-integration-in-grafana/,6,0,1.0,0.025,19.833,41.597,24.572,19.833,99,238,2.42,1,7.029
Netclan20241104,https://insights.blackcoffer.com/data-integration-and-big-data-performance-using-elk-stack/,7,0,1.0,0.026,16.688,40.449,22.855,16.688,108,267,2.397,1,7.176
Netclan20241105,https://insights.blackcoffer.com/web-data-connector/,6,0,1.0,0.025,20.333,38.934,23.707,20.333,95,244,2.389,1,6.988
Netclan20241106,https://insights.blackcoffer.com/an-app-for-updating-the-email-id-of-the-user-and-stripe-refund-tool-using-retool/,10,0,1.0,0.044,56.5,35.398,36.759,56.5,80,226,2.323,1,6.903
Netclan20241107,https://insights.blackcoffer.com/an-ai-ml-based-web-application-that-detects-the-correctness-of-text-in-a-given-video/,5,2,0.429,0.027,52.4,38.168,36.227,52.4,100,262,2.286,1,6.84
Netclan20241108,https://insights.blackcoffer.com/website-tracking-and-insights-using-google-analytics-google-tag-manager/,21,0,1.0,0.039,16.455,37.385,21.536,16.455,203,543,2.285,1,6.877
Netclan20241109,https://insights.blackcoffer.com/dashboard-to-track-the-analytics-of-the-website-using-google-analytics-and-google-tag-manager/,21,1,0.909,0.04,15.686,36.976,21.065,15.686,203,549,2.306,1,6.874
Netclan20241110,https://insights.blackcoffer.com/power-bi-dashboard-on-operations-transactions-and-marketing-embedding-the-dashboard-to-web-app/,5,0,1.0,0.027,36.6,44.262,32.345,36.6,81,183,2.481,1,7.202
Netclan20241111,https://insights.blackcoffer.com/nft-data-automation-looksrare-and-etl-tool/,10,2,0.667,0.043,16.529,36.655,21.274,16.529,103,281,2.306,1,6.762
Netclan20241112,https://insights.blackcoffer.com/optimize-the-data-scraper-program-to-easily-accommodate-large-files-and-solve-oom-errors/,8,0,1.0,0.034,23.4,41.88,26.112,23.4,98,234,2.397,1,7.09
Netclan20241113,https://insights.blackcoffer.com/making-a-robust-way-to-sync-data-from-airtables-to-mongodb-using-python-etl-solution/,6,2,0.5,0.028,20.5,36.237,22.695,20.5,104,287,2.293,1,6.857
Netclan20241114,https://insights.blackcoffer.com/incident-duration-prediction-infrastructure-and-real-estate/,5,1,0.667,0.023,23.818,40.076,25.558,23.818,105,262,2.401,2,7.137
Netclan20241115,https://insights.blackcoffer.com/statistical-data-analysis-of-reinforced-concrete/,11,1,0.833,0.036,20.75,42.169,25.167,20.75,140,332,2.479,1,7.349
Netclan20241116,https://insights.blackcoffer.com/database-normalization-segmentation-with-google-data-studio-dashboard-insights/,8,0,1.0,0.031,15.176,38.372,21.419,15.176,99,258,2.395,1,6.965
Netclan20241117,https://insights.blackcoffer.com/power-bi-dashboard-to-drive-insights-from-complex-data-to-generate-business-insights/,8,1,0.778,0.03,16.5,35.017,20.607,16.5,104,297,2.276,1,6.768
Netclan20241118,https://insights.blackcoffer.com/real-time-dashboard-to-monitor-infrastructure-activity-and-machines/,5,1,0.667,0.029,29.286,40.976,28.105,29.286,84,205,2.429,1,7.18
Netclan20241119,https://insights.blackcoffer.com/electric-vehicles-ev-load-management-system-to-forecast-energy-demand/,7,0,1.0,0.023,21.286,38.926,24.085,21.286,116,298,2.386,1,6.856
Netclan20241120,https://insights.blackcoffer.com/power-bi-data-driven-map-dashboard/,5,0,1.0,0.03,55.333,45.181,40.206,55.333,75,166,2.506,1,7.271
Netclan20241121,https://insights.blackcoffer.com/google-local-service-ads-lsa-leads-dashboard/,21,3,0.75,0.052,14.312,33.843,19.262,14.312,155,458,2.249,1,6.731
Netclan20241122,https://insights.blackcoffer.com/aws-lex-voice-and-chatbot/,12,0,1.0,0.038,18.765,31.034,19.92,18.765,99,319,2.185,1,6.439
Netclan20241123,https://insights.blackcoffer.com/metabridges-api-decentraland-integration/,5,2,0.429,0.023,17.167,38.188,22.142,17.167,118,309,2.34,1,6.828
Netclan20241124,https://insights.blackcoffer.com/microsoft-azure-chatbot-with-luis-language-understanding/,9,0,1.0,0.04,28.0,39.286,26.914,28.0,88,224,2.415,1,7.0
Netclan20241125,https://insights.blackcoffer.com/impact-of-news-media-and-press-on-innovation-startups-and-investments/,12,2,0.714,0.048,13.136,33.91,18.819,13.136,98,289,2.287,1,6.685
Netclan20241126,https://insights.blackcoffer.com/aws-quicksight-reporting-dashboard/,11,1,0.833,0.038,24.385,35.647,24.013,24.385,113,317,2.224,1,6.628
Netclan20241127,https://insights.blackcoffer.com/google-data-studio-dashboard-for-marketing-ads-and-traction-data/,13,2,0.733,0.037,22.278,31.671,21.579,22.278,127,401,2.157,1,6.594
Netclan20241128,https://insights.blackcoffer.com/gangala-in-e-commerce-big-data-etl-elt-solution-and-data-warehouse/,10,0,1.0,0.035,20.214,35.336,22.22,20.214,100,283,2.272,1,6.647
Netclan20241129,https://insights.blackcoffer.com/big-data-solution-to-an-online-multivendor-marketplace-ecommerce-business/,19,0,1.0,0.06,31.8,32.39,25.676,31.8,103,318,2.233,3,6.601
Netclan20241130,https://insights.blackcoffer.com/creating-a-custom-report-and-dashboard-using-the-data-got-from-atera-api/,5,0,1.0,0.026,37.8,41.799,31.84,37.8,79,189,2.423,1,7.085
Netclan20241131,https://insights.blackcoffer.com/azure-data-lake-and-power-bi-dashboard/,10,2,0.667,0.048,20.667,44.758,26.17,20.667,111,248,2.54,1,7.46
Netclan20241132,https://insights.blackcoffer.com/google-data-studio-pipeline-with-gcp-mysql/,5,2,0.429,0.032,36.0,39.352,30.141,36.0,85,216,2.38,1,6.981
Netclan20241133,https://insights.blackcoffer.com/quickbooks-dashboard-to-find-patterns-in-finance-sales-and-forecasts/,12,0,1.0,0.038,24.0,37.179,24.472,24.0,116,312,2.349,1,6.965
Netclan20241134,https://insights.blackcoffer.com/marketing-sales-and-financial-data-business-dashboard-wink-report/,5,0,1.0,0.018,16.588,36.525,21.245,16.588,103,282,2.358,1,6.975
Netclan20241135,https://insights.blackcoffer.com/react-native-apps-in-the-development-portfolio/,4,0,1.0,0.023,57.667,42.197,39.945,57.667,73,173,2.41,2,7.121
Netclan20241136,https://insights.blackcoffer.com/a-leading-firm-website-seo-optimization/,6,0,1.0,0.029,25.625,42.439,27.226,25.625,87,205,2.449,1,7.127
Netclan20241137,https://insights.blackcoffer.com/a-leading-hospitality-firm-in-the-usa-website-seo-optimization/,9,0,1.0,0.043,26.25,42.857,27.643,26.25,90,210,2.405,1,7.095
Netclan20241138,https://insights.blackcoffer.com/a-leading-firm-in-the-usa-website-seo-optimization/,6,2,0.5,0.041,48.25,41.969,36.088,48.25,81,193,2.399,1,6.979
Netclan20241139,https://insights.blackcoffer.com/a-leading-musical-instrumental-website-seo-optimization/,6,1,0.714,0.037,27.286,43.455,28.296,27.286,83,191,2.445,1,7.115
Netclan20241140,https://insights.blackcoffer.com/a-leading-firm-in-the-usa-seo-and-website-optimization/,6,0,1.0,0.031,24.375,41.026,26.16,24.375,80,195,2.405,1,7.144
Netclan20241141,https://insights.blackcoffer.com/immigration-datawarehouse-ai-based-recommendations/,12,0,1.0,0.042,19.267,35.64,21.963,19.267,103,289,2.325,2,7.021
Netclan20241142,https://insights.blackcoffer.com/lipsync-automation-for-celebrities-and-influencers/,5,0,1.0,0.024,23.556,44.34,27.158,23.556,94,212,2.476,1,7.038
Netclan20241143,https://insights.blackcoffer.com/key-audit-matters-predictive-modeling/,7,4,0.273,0.031,21.176,40.278,24.582,21.176,145,360,2.419,1,6.936
Netclan20241144,https://insights.blackcoffer.com/splitting-of-songs-into-its-vocals-and-instrumental/,13,0,1.0,0.05,21.667,38.077,23.897,21.667,99,260,2.338,1,7.004
Netclan20241145,https://insights.blackcoffer.com/ai-and-ml-technologies-to-evaluate-learning-assessments/,16,2,0.778,0.054,16.6,40.361,22.785,16.6,134,332,2.476,1,7.247
Netclan20241146,https://insights.blackcoffer.com/datawarehouse-and-recommendations-engine-for-airbnb/,12,1,0.846,0.045,19.4,37.457,22.743,19.4,109,291,2.378,2,7.014
Netclan20241147,https://insights.blackcoffer.com/real-estate-data-warehouse/,8,0,1.0,0.027,18.812,37.874,22.675,18.812,114,301,2.322,1,6.97
Netclan20241148,https://insights.blackcoffer.com/traction-dashboards-of-marketing-campaigns-and-posts/,7,0,1.0,0.023,19.933,37.124,22.823,19.933,111,299,2.278,2,6.893
Netclan20241149,https://insights.blackcoffer.com/google-local-service-ads-lsa-data-warehouse/,6,0,1.0,0.027,22.6,40.708,25.323,22.6,92,226,2.389,1,6.942
Netclan20241150,https://insights.blackcoffer.com/google-local-service-ads-missed-calls-and-messages-automation-tool/,6,0,1.0,0.027,37.167,37.668,29.934,37.167,84,223,2.332,1,6.946
Netclan20241151,https://insights.blackcoffer.com/marketing-ads-leads-call-status-data-tool-to-bigquery/,7,0,1.0,0.033,23.556,43.396,26.781,23.556,92,212,2.462,1,7.113
Netclan20241152,https://insights.blackcoffer.com/marketing-analytics-to-automate-leads-call-status-and-reporting/,7,0,1.0,0.032,27.625,40.271,27.159,27.625,89,221,2.407,1,7.054
Netclan20241153,https://insights.blackcoffer.com/callrail-analytics-leads-report-alert/,6,0,1.0,0.027,22.1,41.176,25.311,22.1,91,221,2.416,1,7.027
Netclan20241154,https://insights.blackcoffer.com/marketing-automation-tool-to-notify-lead-details-to-clients-over-email-and-phone/,5,0,1.0,0.024,34.5,42.029,30.612,34.5,87,207,2.43,1,7.053
Netclan20241155,https://insights.blackcoffer.com/data-etl-local-service-ads-leads-to-bigquery/,6,0,1.0,0.029,29.429,43.204,29.053,29.429,89,206,2.456,1,7.131
Netclan20241156,https://insights.blackcoffer.com/marbles-stimulation-using-python/,8,1,0.778,0.037,18.692,37.86,22.621,18.692,92,243,2.313,2,6.877
Netclan20241157,https://insights.blackcoffer.com/stocktwits-data-structurization/,17,6,0.478,0.036,12.94,30.757,17.479,12.94,199,647,2.201,1,6.691
Netclan20241158,https://insights.blackcoffer.com/sentimental-analysis-on-shareholder-letter-of-companies/,12,2,0.714,0.034,17.739,43.873,24.645,17.739,179,408,2.461,1,7.262
Netclan20241159,https://insights.blackcoffer.com/population-and-community-survey-of-america/,16,0,1.0,0.026,17.333,36.218,21.421,17.333,226,624,2.335,1,6.849
Netclan20241160,https://insights.blackcoffer.com/google-lsa-api-data-automation-and-dashboarding/,23,6,0.586,0.032,13.803,34.907,19.484,13.803,318,911,2.24,3,6.614
